symbol,close,drawdown,range_pos,yr_change,type,universe
FCUV,0.54,-1.0,0.0,-0.99,accumulation,broader
AMC,2.08,-0.997,0.0,-0.31,accumulation,broader
VELO,20.66,-0.997,0.0,1.62,accumulation,broader
HSCS,2.75,-0.995,0.0,-0.27,accumulation,broader
FCEL,21.82,-0.991,0.01,2.66,accumulation,broader
SMCX,11.72,-0.985,0.01,-0.86,accumulation,broader
MSTZ,12.25,-0.976,0.02,1.42,accumulation,broader
ARQQ,29.04,-0.972,0.02,-0.3,accumulation,broader
AIXI,3.02,-0.968,0.03,0.28,accumulation,broader
QS,7.42,-0.944,0.03,0.73,accumulation,broader
BTBT,2.14,-0.935,0.06,-0.08,accumulation,broader
NIO,5.09,-0.924,0.06,0.49,consolidating|accumulation,broader
RIVN,14.89,-0.917,0.04,0.1,consolidating|accumulation,broader
OPEN,4.2,-0.893,0.1,6.85,accumulation,broader
PSKY,9.94,-0.89,0.02,-0.16,consolidating|accumulation,SP500
PATH,10.16,-0.887,0.01,-0.17,consolidating,broader
CLSK,17.19,-0.885,0.11,0.91,accumulation,broader
LAES,3.34,-0.883,0.11,-0.15,accumulation,broader
U,27.61,-0.869,0.07,0.2,consolidating|accumulation,broader
SEDG,52.36,-0.866,0.11,2.17,accumulation,broader
ENPH,47.22,-0.861,0.14,0.32,accumulation,broader
ZM,86.44,-0.853,0.06,0.11,accumulation,broader
TXG,31.87,-0.848,0.12,1.95,accumulation,broader
LYFT,13.82,-0.844,0.07,-0.05,consolidating|accumulation,broader
HIVE,4.63,-0.839,0.16,1.72,accumulation,broader
XPEV,12.76,-0.829,0.1,-0.3,consolidating,broader
BOLD,2.6,-0.829,0.11,1.5,accumulation,broader
FRSH,9.19,-0.828,0.05,-0.38,accumulation,broader
AGQ,74.18,-0.828,0.15,0.56,accumulation,broader
MARA,14.7,-0.824,0.17,0.03,consolidating|accumulation,broader
SMR,10.86,-0.811,0.16,-0.71,accumulation,broader
GRAB,3.46,-0.809,0.08,-0.23,consolidating,broader
S,15.13,-0.807,0.05,-0.13,accumulation,broader
ELVN,48.6,-0.806,0.18,1.28,accumulation,broader
GTLB,27.0,-0.803,0.07,-0.34,accumulation,broader
SVXY,55.0,-0.803,0.16,0.36,consolidating|accumulation,broader
BTCZ,5.93,-0.8,0.13,0.59,accumulation,broader
MTCH,35.31,-0.799,0.14,0.18,consolidating|accumulation,broader
FISV,47.86,-0.799,0.01,-0.71,accumulation,SP500
EOSE,6.49,-0.797,0.19,0.45,accumulation,broader
VFC,16.91,-0.793,0.11,0.48,consolidating|accumulation,broader
AVTR,9.43,-0.787,0.07,-0.31,consolidating|accumulation,broader
ORKA,83.4,-0.786,0.2,6.14,accumulation,broader
CAR,190.46,-0.775,0.22,0.42,accumulation,broader
PAYC,124.28,-0.772,0.17,-0.46,accumulation,broader
GITS,2.18,-0.771,0.22,0.5,consolidating|accumulation,broader
JBLU,5.53,-0.771,0.11,0.38,accumulation,broader
BBAI,3.77,-0.766,0.21,-0.06,consolidating|accumulation,broader
PCG,16.48,-0.765,0.2,0.23,consolidating,SP500
STLA,5.96,-0.765,0.14,-0.37,consolidating,broader
BAX,19.89,-0.765,0.06,-0.33,accumulation,SP500
BEAM,33.2,-0.76,0.16,0.98,accumulation,broader
DUOL,132.18,-0.757,0.15,-0.72,accumulation,broader
ETSY,74.89,-0.757,0.22,0.33,consolidating|accumulation,broader
CRSP,53.99,-0.755,0.2,0.22,consolidating|accumulation,broader
CZR,29.43,-0.754,0.21,0.05,consolidating|accumulation,broader
SMCI,30.66,-0.751,0.24,-0.29,accumulation,SP500
AAP,54.81,-0.751,0.14,0.13,accumulation,broader
SPSC,54.78,-0.75,0.16,-0.59,accumulation,broader
CPNG,17.51,-0.746,0.14,-0.39,accumulation,broader
OUST,45.16,-0.745,0.24,1.1,accumulation,broader
XYZ,74.78,-0.741,0.24,0.18,consolidating|accumulation,SP500
DNTH,87.53,-0.739,0.25,4.19,accumulation,broader
BFLY,7.67,-0.737,0.25,2.69,accumulation,broader
QUBT,10.49,-0.735,0.26,-0.44,accumulation,broader
BAND,52.73,-0.734,0.23,2.78,accumulation,broader
RLAY,17.44,-0.729,0.25,4.47,accumulation,broader
ROKU,135.05,-0.725,0.25,0.67,accumulation,broader
JD,26.12,-0.725,0.12,-0.14,accumulation,broader
RXT,7.27,-0.725,0.26,5.06,accumulation,broader
ARE,51.03,-0.723,0.08,-0.24,accumulation,SP500
AAL,16.14,-0.72,0.16,0.52,accumulation,broader
MGNI,18.0,-0.72,0.26,-0.04,accumulation,broader
ACHR,5.25,-0.718,0.21,-0.48,accumulation,broader
ELF,63.49,-0.714,0.26,-0.47,accumulation,broader
AVS,7.83,-0.706,0.08,-0.44,accumulation,broader
OKLO,57.19,-0.705,0.28,-0.01,consolidating|accumulation,broader
ILMN,164.93,-0.695,0.2,0.82,accumulation,broader
BB,8.82,-0.693,0.25,1.09,accumulation,broader
TSLG,5.85,-0.693,0.18,0.02,accumulation,broader
ESTC,58.98,-0.689,0.13,-0.28,accumulation,broader
GPN,66.88,-0.682,0.04,-0.11,accumulation,SP500
RIG,5.29,-0.682,0.29,0.82,accumulation,broader
BLZE,11.66,-0.681,0.25,1.33,accumulation,broader
PCTY,100.89,-0.679,0.25,-0.43,accumulation,broader
TREX,45.34,-0.678,0.27,-0.16,accumulation,broader
SYRE,97.05,-0.676,0.32,5.47,accumulation,broader
BIO,270.32,-0.675,0.19,0.14,accumulation,broader
CLF,11.16,-0.672,0.27,0.6,consolidating|accumulation,broader
EPC,26.22,-0.669,0.17,0.16,accumulation,broader
KMX,51.91,-0.667,0.17,-0.24,accumulation,broader
ZS,126.17,-0.665,0.29,-0.58,accumulation,broader
DKNG,25.15,-0.662,0.24,-0.38,accumulation,broader
BABA,102.6,-0.659,0.2,-0.08,consolidating,broader
NVO,47.42,-0.658,0.28,-0.33,consolidating|accumulation,broader
PLTD,8.9,-0.657,0.16,-0.02,accumulation,broader
OLN,21.46,-0.651,0.26,0.15,consolidating,broader
BAH,63.88,-0.651,0.26,-0.34,consolidating,broader
TOST,24.51,-0.65,0.22,-0.42,accumulation,broader
VKTX,34.81,-0.65,0.34,0.34,consolidating|accumulation,broader
RKLX,40.79,-0.645,0.34,2.36,accumulation,broader
BF-B,26.64,-0.64,0.08,0.07,accumulation,SP500
RIOT,28.69,-0.639,0.36,2.0,accumulation,broader
KHC,22.82,-0.636,0.17,-0.05,consolidating|accumulation,SP500
POOL,198.99,-0.635,0.26,-0.29,accumulation,SP500
RGTI,21.28,-0.634,0.36,0.92,accumulation,broader
FLG,15.03,-0.63,0.28,0.3,consolidating|accumulation,broader
RKT,13.47,-0.627,0.26,-0.06,accumulation,broader
VTRS,15.37,-0.621,0.26,0.82,accumulation,SP500
LEU,177.5,-0.618,0.38,-0.07,consolidating|accumulation,broader
ZBRA,235.98,-0.616,0.33,-0.18,accumulation,SP500
RGEN,126.37,-0.614,0.34,0.06,accumulation,broader
SIRI,28.08,-0.604,0.2,0.35,consolidating|accumulation,broader
TWST,85.0,-0.603,0.36,1.45,accumulation,broader
OKTA,118.16,-0.598,0.35,0.19,accumulation,broader
CRL,185.0,-0.598,0.3,0.28,accumulation,SP500
TWLO,184.04,-0.598,0.37,0.58,accumulation,broader
AFRM,71.83,-0.593,0.38,0.16,consolidating|accumulation,broader
ICLR,142.67,-0.59,0.27,-0.03,accumulation,broader
SWKS,72.45,-0.589,0.21,0.06,accumulation,SP500
LUMN,7.84,-0.588,0.39,0.99,accumulation,broader
DEO,82.24,-0.582,0.08,-0.15,accumulation,broader
BIIB,196.58,-0.58,0.24,0.55,accumulation,SP500
CPB,21.15,-0.579,0.05,-0.3,consolidating|accumulation,SP500
WRBY,25.64,-0.575,0.32,0.18,accumulation,broader
NOV,18.75,-0.573,0.32,0.42,accumulation,broader
BMRN,56.5,-0.572,0.09,0.03,accumulation,broader
SVIX,22.22,-0.569,0.31,0.58,consolidating|accumulation,broader
TECH,57.94,-0.564,0.32,0.18,accumulation,SP500
BWIN,24.39,-0.563,0.34,-0.39,accumulation,broader
PVH,73.41,-0.561,0.33,0.14,accumulation,broader
SYM,38.57,-0.561,0.38,0.13,consolidating,broader
SYNA,134.41,-0.551,0.4,1.12,accumulation,broader
