symbol,close,off_high,range_position,base_type,div_count,div_indicators,div_last,universe,tradingview_chart,canslim,canslim_real,new,first_seen,days_on_list
AVS,7.79,-0.707,0.08,accumulation,8,RSI|MACD|MFI|MVI|CMF|OBV|WILLR|SQUEEZE,2026-06-10,broader,https://www.tradingview.com/chart/?symbol=AVS,3/4,n/a,,2026-07-01,2
KMX,50.79,-0.674,0.16,accumulation,8,RSI|MACD|MFI|MVI|CMF|OBV|WILLR|SQUEEZE,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=KMX,4/4 PASS,2/6 IM,,2026-07-01,2
RKT,14.73,-0.592,0.3,accumulation,8,RSI|MACD|MFI|MVI|CMF|OBV|WILLR|SQUEEZE,2026-06-24,broader,https://www.tradingview.com/chart/?symbol=RKT,3/4,2/6 IM,,2026-07-01,2
ARQQ,28.64,-0.972,0.02,accumulation,7,RSI|MFI|MVI|CMF|OBV|WILLR|SQUEEZE,2026-06-16,broader,https://www.tradingview.com/chart/?symbol=ARQQ,4/4 PASS,2/6 AM,,2026-07-01,2
AVTR,9.69,-0.782,0.08,consolidating|accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=AVTR,3/4,2/6 IM,,2026-07-01,2
PLTD,9.17,-0.647,0.17,accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-03-30,broader,https://www.tradingview.com/chart/?symbol=PLTD,4/4 PASS,n/a,,2026-07-01,2
LUMN,8.06,-0.576,0.4,accumulation,7,RSI|MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-05-18,broader,https://www.tradingview.com/chart/?symbol=LUMN,1/4,3/6 LIM,,2026-07-01,2
FCUV,4.42,-0.997,0.0,accumulation,6,RSI|MACD|CMF|OBV|WILLR|SQUEEZE,2026-06-12,broader,https://www.tradingview.com/chart/?symbol=FCUV,3/4,1/6 M,,2026-07-01,2
HSCS,2.63,-0.996,0.0,accumulation,6,RSI|MFI|CMF|OBV|WILLR|SQUEEZE,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=HSCS,3/4,1/6 M,,2026-07-01,2
LAES,3.23,-0.887,0.1,accumulation,6,RSI|MACD|MFI|CMF|WILLR|SQUEEZE,2026-04-17,broader,https://www.tradingview.com/chart/?symbol=LAES,2/4,1/6 M,,2026-07-01,2
SMR,10.21,-0.822,0.15,accumulation,6,RSI|MACD|MFI|CMF|OBV|WILLR,2026-06-18,broader,https://www.tradingview.com/chart/?symbol=SMR,0/4,2/6 IM,,2026-07-01,2
ELVN,47.77,-0.81,0.18,accumulation,6,MACD|MFI|MVI|OBV|WILLR|SQUEEZE,2026-06-12,broader,https://www.tradingview.com/chart/?symbol=ELVN,4/4 PASS,4/6 NLIM,,2026-07-01,2
GRAB,3.49,-0.807,0.08,consolidating,6,RSI|MACD|MFI|CMF|WILLR|SQUEEZE,2026-06-17,broader,https://www.tradingview.com/chart/?symbol=GRAB,1/4,4/6 CAIM,,2026-07-01,2
STLA,5.84,-0.77,0.13,consolidating,6,MACD|MFI|CMF|OBV|WILLR|SQUEEZE,2026-05-28,broader,https://www.tradingview.com/chart/?symbol=STLA,0/4,2/6 IM,,2026-07-01,2
PCG,16.48,-0.765,0.2,consolidating,6,RSI|MACD|MFI|CMF|WILLR|SQUEEZE,2026-06-05,SP500,https://www.tradingview.com/chart/?symbol=PCG,1/4,5/6 CNLIM,,2026-07-01,2
CPNG,17.76,-0.743,0.15,accumulation,6,RSI|MACD|MFI|OBV|WILLR|SQUEEZE,2026-06-16,broader,https://www.tradingview.com/chart/?symbol=CPNG,2/4,3/6 AIM,,2026-07-01,2
XYZ,74.78,-0.741,0.24,consolidating|accumulation,6,MACD|MFI|MVI|CMF|OBV|SQUEEZE,2026-06-18,SP500,https://www.tradingview.com/chart/?symbol=XYZ,4/4 PASS,3/6 NIM,,2026-07-01,2
ELF,64.54,-0.709,0.27,accumulation,6,RSI|MACD|MVI|CMF|WILLR|SQUEEZE,2026-06-11,broader,https://www.tradingview.com/chart/?symbol=ELF,3/4,2/6 IM,,2026-07-01,2
TSLG,5.67,-0.703,0.17,accumulation,6,RSI|MACD|MFI|CMF|OBV|WILLR,2026-06-22,broader,https://www.tradingview.com/chart/?symbol=TSLG,0/4,n/a,,2026-07-01,2
BAH,62.68,-0.658,0.25,consolidating,6,MACD|MFI|MVI|CMF|OBV|WILLR,2026-05-19,broader,https://www.tradingview.com/chart/?symbol=BAH,0/4,2/6 IM,,2026-07-01,2
POOL,198.99,-0.635,0.26,accumulation,6,RSI|MACD|MFI|OBV|WILLR|SQUEEZE,2026-04-09,SP500,https://www.tradingview.com/chart/?symbol=POOL,3/4,2/6 IM,,2026-07-01,2
TOST,26.02,-0.628,0.24,accumulation,6,RSI|MACD|MFI|OBV|WILLR|SQUEEZE,2026-04-17,broader,https://www.tradingview.com/chart/?symbol=TOST,3/4,4/6 CAIM,,2026-07-01,2
RGEN,138.4,-0.577,0.38,accumulation,6,RSI|MACD|MFI|CMF|OBV|SQUEEZE,2026-05-05,broader,https://www.tradingview.com/chart/?symbol=RGEN,4/4 PASS,4/6 CAIM,,2026-07-01,2
ENPH,47.82,-0.859,0.14,accumulation,5,RSI|MACD|MVI|WILLR|SQUEEZE,2026-05-15,broader,https://www.tradingview.com/chart/?symbol=ENPH,2/4,3/6 AIM,,2026-07-01,2
LYFT,14.4,-0.837,0.08,consolidating|accumulation,5,RSI|MFI|OBV|WILLR|SQUEEZE,2026-06-24,broader,https://www.tradingview.com/chart/?symbol=LYFT,3/4,4/6 CAIM,,2026-07-01,2
MARA,14.0,-0.832,0.16,consolidating|accumulation,5,RSI|MFI|CMF|OBV|WILLR,2026-05-26,broader,https://www.tradingview.com/chart/?symbol=MARA,3/4,2/6 IM,,2026-07-01,2
BOLD,2.6,-0.829,0.11,accumulation,5,MACD|MFI|MVI|WILLR|SQUEEZE,2026-06-23,broader,https://www.tradingview.com/chart/?symbol=BOLD,4/4 PASS,4/6 NLIM,,2026-07-01,2
MTCH,35.34,-0.799,0.14,consolidating|accumulation,5,MACD|MFI|OBV|WILLR|SQUEEZE,2026-06-18,broader,https://www.tradingview.com/chart/?symbol=MTCH,2/4,4/6 CNIM,,2026-07-01,2
GTLB,28.27,-0.794,0.08,accumulation,5,RSI|MACD|MFI|WILLR|SQUEEZE,2026-05-05,broader,https://www.tradingview.com/chart/?symbol=GTLB,2/4,2/6 IM,,2026-07-01,2
BTCZ,6.41,-0.784,0.15,accumulation,5,RSI|MACD|MFI|WILLR|SQUEEZE,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=BTCZ,4/4 PASS,n/a,,2026-07-01,2
PAYC,127.22,-0.767,0.18,accumulation,5,MACD|MFI|OBV|WILLR|SQUEEZE,2026-04-16,broader,https://www.tradingview.com/chart/?symbol=PAYC,0/4,2/6 IM,,2026-07-01,2
BAX,19.89,-0.765,0.06,accumulation,5,RSI|MACD|MFI|WILLR|SQUEEZE,2026-04-06,SP500,https://www.tradingview.com/chart/?symbol=BAX,4/4 PASS,2/6 IM,,2026-07-01,2
JBLU,5.79,-0.76,0.12,accumulation,5,RSI|MACD|MFI|OBV|WILLR,2026-06-17,broader,https://www.tradingview.com/chart/?symbol=JBLU,4/4 PASS,4/6 NLIM,,2026-07-01,2
DNTH,90.8,-0.73,0.26,accumulation,5,RSI|MACD|OBV|WILLR|SQUEEZE,2026-05-28,broader,https://www.tradingview.com/chart/?symbol=DNTH,4/4 PASS,4/6 NLIM,,2026-07-01,2
AAL,17.44,-0.697,0.19,accumulation,5,RSI|MACD|MFI|WILLR|SQUEEZE,2026-04-06,broader,https://www.tradingview.com/chart/?symbol=AAL,4/4 PASS,4/6 NLIM,,2026-07-01,2
TREX,48.88,-0.653,0.3,accumulation,5,RSI|MACD|MFI|WILLR|SQUEEZE,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=TREX,4/4 PASS,2/6 IM,,2026-07-01,2
VKTX,37.87,-0.619,0.38,consolidating|accumulation,5,RSI|MACD|MFI|OBV|WILLR,2026-06-24,broader,https://www.tradingview.com/chart/?symbol=VKTX,4/4 PASS,4/6 NLIM,,2026-07-01,2
BIIB,196.58,-0.58,0.24,accumulation,5,MACD|MVI|CMF|OBV|WILLR,2026-06-11,SP500,https://www.tradingview.com/chart/?symbol=BIIB,4/4 PASS,5/6 CNLIM,,2026-07-01,2
MSTZ,14.53,-0.972,0.02,accumulation,4,MACD|MFI|MVI|SQUEEZE,2026-05-15,broader,https://www.tradingview.com/chart/?symbol=MSTZ,4/4 PASS,n/a,,2026-07-01,2
FISV,47.86,-0.799,0.01,accumulation,4,MACD|MVI|OBV|WILLR,2026-04-02,SP500,https://www.tradingview.com/chart/?symbol=FISV,0/4,n/a,,2026-07-01,2
ARE,51.03,-0.723,0.08,accumulation,4,MACD|MFI|CMF|OBV,2026-05-28,SP500,https://www.tradingview.com/chart/?symbol=ARE,3/4,2/6 IM,,2026-07-01,2
RLAY,18.02,-0.72,0.26,accumulation,4,RSI|MACD|MFI|WILLR,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=RLAY,4/4 PASS,4/6 NLIM,,2026-07-01,2
BABA,99.8,-0.668,0.18,consolidating,4,RSI|MACD|MFI|SQUEEZE,2026-04-13,broader,https://www.tradingview.com/chart/?symbol=BABA,0/4,2/6 CM,,2026-07-01,2
OLN,20.99,-0.659,0.25,consolidating,4,RSI|MVI|OBV|WILLR,2026-06-16,broader,https://www.tradingview.com/chart/?symbol=OLN,0/4,2/6 IM,,2026-07-01,2
ZBRA,235.98,-0.616,0.33,accumulation,4,MACD|CMF|WILLR|SQUEEZE,2026-04-06,SP500,https://www.tradingview.com/chart/?symbol=ZBRA,1/4,2/6 IM,,2026-07-01,2
OKTA,118.58,-0.597,0.36,accumulation,4,MVI|CMF|OBV|SQUEEZE,2026-05-07,broader,https://www.tradingview.com/chart/?symbol=OKTA,4/4 PASS,5/6 ANLIM,,2026-07-01,2
SWKS,72.45,-0.589,0.21,accumulation,4,MACD|MFI|OBV|SQUEEZE,2026-04-08,SP500,https://www.tradingview.com/chart/?symbol=SWKS,2/4,2/6 IM,,2026-07-01,2
CPB,21.15,-0.579,0.05,consolidating|accumulation,4,RSI|MFI|CMF|SQUEEZE,2026-06-01,SP500,https://www.tradingview.com/chart/?symbol=CPB,1/4,3/6 CIM,,2026-07-01,2
DEO,82.97,-0.579,0.09,accumulation,4,MACD|MVI|OBV|SQUEEZE,2026-06-24,broader,https://www.tradingview.com/chart/?symbol=DEO,3/4,1/6 M,,2026-07-01,2
BWIN,24.87,-0.554,0.35,accumulation,4,MACD|MFI|CMF|SQUEEZE,2026-06-08,broader,https://www.tradingview.com/chart/?symbol=BWIN,4/4 PASS,2/6 IM,,2026-07-01,2
AMC,2.0,-0.997,0.0,accumulation,3,CMF|WILLR|SQUEEZE,2026-05-22,broader,https://www.tradingview.com/chart/?symbol=AMC,2/4,1/6 M,,2026-07-01,2
VELO,18.05,-0.997,0.0,accumulation,3,RSI|MVI|OBV,2026-06-15,broader,https://www.tradingview.com/chart/?symbol=VELO,1/4,2/6 LM,,2026-07-01,2
FCEL,21.56,-0.991,0.01,accumulation,3,MACD|OBV|SQUEEZE,2026-04-09,broader,https://www.tradingview.com/chart/?symbol=FCEL,4/4 PASS,3/6 LIM,,2026-07-01,2
XPEV,12.48,-0.832,0.09,consolidating,3,MACD|WILLR|SQUEEZE,2026-05-27,broader,https://www.tradingview.com/chart/?symbol=XPEV,0/4,2/6 AM,,2026-07-01,2
FRSH,9.37,-0.824,0.06,accumulation,3,MFI|MVI|CMF,2026-05-06,broader,https://www.tradingview.com/chart/?symbol=FRSH,2/4,3/6 AIM,,2026-07-01,2
S,15.12,-0.807,0.05,accumulation,3,MACD|MFI|OBV,2026-04-17,broader,https://www.tradingview.com/chart/?symbol=S,0/4,2/6 IM,,2026-07-01,2
CAR,175.29,-0.793,0.2,accumulation,3,RSI|MACD|WILLR,2026-05-20,broader,https://www.tradingview.com/chart/?symbol=CAR,1/4,3/6 AIM,,2026-07-01,2
ORKA,82.09,-0.79,0.2,accumulation,3,MACD|CMF|SQUEEZE,2026-06-05,broader,https://www.tradingview.com/chart/?symbol=ORKA,4/4 PASS,4/6 NLIM,,2026-07-01,2
CRSP,53.55,-0.757,0.2,consolidating|accumulation,3,MACD|MFI|SQUEEZE,2026-05-26,broader,https://www.tradingview.com/chart/?symbol=CRSP,3/4,2/6 IM,,2026-07-01,2
QUBT,9.7,-0.755,0.24,accumulation,3,MFI|CMF|WILLR,2026-06-15,broader,https://www.tradingview.com/chart/?symbol=QUBT,0/4,3/6 AIM,,2026-07-01,2
SPSC,55.54,-0.746,0.17,accumulation,3,RSI|MFI|OBV,2026-04-28,broader,https://www.tradingview.com/chart/?symbol=SPSC,3/4,2/6 IM,,2026-07-01,2
ROKU,135.93,-0.723,0.25,accumulation,3,MFI|MVI|WILLR,2026-06-18,broader,https://www.tradingview.com/chart/?symbol=ROKU,4/4 PASS,5/6 ANLIM,,2026-07-01,2
GPN,66.88,-0.682,0.04,accumulation,3,MACD|MFI|SQUEEZE,2026-04-13,SP500,https://www.tradingview.com/chart/?symbol=GPN,0/4,3/6 NIM,,2026-07-01,2
BLZE,11.97,-0.672,0.26,accumulation,3,MFI|CMF|SQUEEZE,2026-04-06,broader,https://www.tradingview.com/chart/?symbol=BLZE,4/4 PASS,5/6 ANLIM,,2026-07-01,2
DKNG,24.53,-0.67,0.23,accumulation,3,MFI|CMF|OBV,2026-05-08,broader,https://www.tradingview.com/chart/?symbol=DKNG,0/4,3/6 AIM,,2026-07-01,2
VTRS,15.37,-0.621,0.26,accumulation,3,MACD|MFI|SQUEEZE,2026-04-06,SP500,https://www.tradingview.com/chart/?symbol=VTRS,1/4,4/6 NLIM,,2026-07-01,2
TWLO,188.34,-0.588,0.38,accumulation,3,MFI|OBV|WILLR,2026-04-22,broader,https://www.tradingview.com/chart/?symbol=TWLO,2/4,6/6 PASS,,2026-07-01,2
BMRN,57.33,-0.566,0.1,accumulation,3,MVI|CMF|WILLR,2026-05-05,broader,https://www.tradingview.com/chart/?symbol=BMRN,4/4 PASS,3/6 NIM,,2026-07-01,2
PVH,72.71,-0.565,0.32,accumulation,3,MACD|MFI|OBV,2026-05-26,broader,https://www.tradingview.com/chart/?symbol=PVH,0/4,2/6 IM,,2026-07-01,2
SYNA,130.11,-0.565,0.38,accumulation,3,MFI|MVI|SQUEEZE,2026-06-11,broader,https://www.tradingview.com/chart/?symbol=SYNA,2/4,3/6 LIM,,2026-07-01,2
WRBY,26.85,-0.555,0.34,accumulation,3,MACD|OBV|SQUEEZE,2026-04-10,broader,https://www.tradingview.com/chart/?symbol=WRBY,4/4 PASS,5/6 ANLIM,,2026-07-01,2
SYM,39.43,-0.551,0.39,consolidating,3,MFI|CMF|SQUEEZE,2026-05-26,broader,https://www.tradingview.com/chart/?symbol=SYM,0/4,2/6 IM,,2026-07-01,2
AIXI,2.39,-0.974,0.02,accumulation,2,MACD|CMF,2026-05-14,broader,https://www.tradingview.com/chart/?symbol=AIXI,1/4,1/6 M,,2026-07-01,2
NIO,4.9,-0.927,0.06,consolidating|accumulation,2,MACD|CMF,2026-06-01,broader,https://www.tradingview.com/chart/?symbol=NIO,0/4,4/6 ALIM,,2026-07-01,2
RIVN,14.64,-0.918,0.04,consolidating|accumulation,2,MACD|MFI,2026-05-26,broader,https://www.tradingview.com/chart/?symbol=RIVN,0/4,3/6 LIM,,2026-07-01,2
EOSE,6.06,-0.81,0.17,accumulation,2,MACD|SQUEEZE,2026-04-06,broader,https://www.tradingview.com/chart/?symbol=EOSE,0/4,3/6 CIM,,2026-07-01,2
DUOL,132.15,-0.757,0.15,accumulation,2,RSI|SQUEEZE,2026-04-06,broader,https://www.tradingview.com/chart/?symbol=DUOL,3/4,3/6 AIM,,2026-07-01,2
AAP,57.94,-0.736,0.16,accumulation,2,MFI|MVI,2026-05-21,broader,https://www.tradingview.com/chart/?symbol=AAP,3/4,5/6 ANLIM,,2026-07-01,2
MGNI,18.29,-0.716,0.27,accumulation,2,MFI|OBV,2026-05-26,broader,https://www.tradingview.com/chart/?symbol=MGNI,4/4 PASS,3/6 AIM,,2026-07-01,2
BB,8.62,-0.7,0.25,accumulation,2,RSI|WILLR,2026-04-06,broader,https://www.tradingview.com/chart/?symbol=BB,3/4,5/6 CALIM,,2026-07-01,2
CLF,10.57,-0.689,0.25,consolidating|accumulation,2,OBV|SQUEEZE,2026-04-27,broader,https://www.tradingview.com/chart/?symbol=CLF,0/4,2/6 IM,,2026-07-01,2
PCTY,103.79,-0.67,0.26,accumulation,2,RSI|OBV,2026-05-19,broader,https://www.tradingview.com/chart/?symbol=PCTY,0/4,2/6 IM,,2026-07-01,2
ZS,127.27,-0.662,0.29,accumulation,2,MFI|SQUEEZE,2026-05-06,broader,https://www.tradingview.com/chart/?symbol=ZS,0/4,3/6 AIM,,2026-07-01,2
NVO,47.41,-0.658,0.28,consolidating|accumulation,2,OBV|SQUEEZE,2026-04-02,broader,https://www.tradingview.com/chart/?symbol=NVO,4/4 PASS,2/6 CM,,2026-07-01,2
RIOT,27.42,-0.655,0.34,accumulation,2,MFI|SQUEEZE,2026-04-08,broader,https://www.tradingview.com/chart/?symbol=RIOT,4/4 PASS,3/6 LIM,,2026-07-01,2
BF-B,26.64,-0.64,0.08,accumulation,2,MVI|CMF,2026-06-01,SP500,https://www.tradingview.com/chart/?symbol=BF-B,2/4,2/6 IM,,2026-07-01,2
KHC,22.82,-0.636,0.17,consolidating|accumulation,2,RSI|WILLR,2026-04-29,SP500,https://www.tradingview.com/chart/?symbol=KHC,1/4,3/6 NIM,,2026-07-01,2
SIRI,27.9,-0.606,0.19,consolidating,2,CMF|OBV,2026-05-06,broader,https://www.tradingview.com/chart/?symbol=SIRI,3/4,5/6 ANLIM,,2026-07-01,2
SVIX,22.19,-0.57,0.31,consolidating|accumulation,2,WILLR|SQUEEZE,2026-04-06,broader,https://www.tradingview.com/chart/?symbol=SVIX,3/4,n/a,,2026-07-01,2
OPEN,4.28,-0.891,0.1,accumulation,1,OBV,2026-06-16,broader,https://www.tradingview.com/chart/?symbol=OPEN,0/4,3/6 LIM,,2026-07-01,2
PSKY,9.94,-0.89,0.02,consolidating|accumulation,1,WILLR,2026-04-07,SP500,https://www.tradingview.com/chart/?symbol=PSKY,0/4,2/6 IM,,2026-07-01,2
U,27.15,-0.871,0.07,consolidating|accumulation,1,MVI,2026-06-01,broader,https://www.tradingview.com/chart/?symbol=U,0/4,3/6 AIM,,2026-07-01,2
TXG,34.6,-0.834,0.14,accumulation,1,OBV,2026-05-05,broader,https://www.tradingview.com/chart/?symbol=TXG,4/4 PASS,5/6 ANLIM,,2026-07-01,2
VFC,17.22,-0.789,0.11,consolidating|accumulation,1,WILLR,2026-05-28,broader,https://www.tradingview.com/chart/?symbol=VFC,2/4,4/6 ALIM,,2026-07-01,2
BBAI,3.52,-0.782,0.19,consolidating|accumulation,1,SQUEEZE,2026-04-20,broader,https://www.tradingview.com/chart/?symbol=BBAI,0/4,2/6 IM,,2026-07-01,2
OUST,40.71,-0.77,0.22,accumulation,1,OBV,2026-05-15,broader,https://www.tradingview.com/chart/?symbol=OUST,3/4,4/6 ALIM,,2026-07-01,2
GITS,2.38,-0.749,0.24,accumulation,1,MFI,2026-04-07,broader,https://www.tradingview.com/chart/?symbol=GITS,4/4 PASS,1/6 M,,2026-07-01,2
JD,25.48,-0.731,0.11,accumulation,1,MACD,2026-06-17,broader,https://www.tradingview.com/chart/?symbol=JD,0/4,1/6 M,,2026-07-01,2
ILMN,175.09,-0.676,0.23,accumulation,1,CMF,2026-05-05,broader,https://www.tradingview.com/chart/?symbol=ILMN,4/4 PASS,5/6 ANLIM,,2026-07-01,2
LEU,171.13,-0.631,0.37,consolidating|accumulation,1,SQUEEZE,2026-06-16,broader,https://www.tradingview.com/chart/?symbol=LEU,0/4,2/6 IM,,2026-07-01,2
NOV,18.35,-0.582,0.31,accumulation,1,OBV,2026-06-04,broader,https://www.tradingview.com/chart/?symbol=NOV,1/4,3/6 LIM,,2026-07-01,2
TWST,91.35,-0.573,0.39,accumulation,1,WILLR,2026-03-31,broader,https://www.tradingview.com/chart/?symbol=TWST,4/4 PASS,5/6 ANLIM,,2026-07-01,2
TECH,57.94,-0.564,0.32,accumulation,1,RSI,2026-05-05,SP500,https://www.tradingview.com/chart/?symbol=TECH,4/4 PASS,5/6 CNLIM,,2026-07-01,2
